airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,fuel_type,transmission,mileage,supplier_name,supplier_address,supplier_loction_type,average,average_text,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,RunDate,setup_prams,tid
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,164.97,164.97,164.97,GBP,Hyundai Tucson,668705231,1,1,1,5,Standard,5,N/A,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.60,8.10,9.20,8.40,8.10,7.20,7.30,1533,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269304
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,164.97,164.97,164.97,GBP,Hyundai Tucson,710807096,1,1,1,4,Standard,5,N/A,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.50,7.90,9.30,8.30,8.30,7.40,7.30,2757,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269305
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,237.59,237.59,237.59,GBP,Nissan Qashqai   ,713358351,1,1,1,4,Intermediate,5,N/A,Automatic,Unlimited mileage,Enterprise,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.30,Excellent,8.20,8.10,9.00,8.70,8.80,7.60,7.80,1890,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269306
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,93.96,111.81,93.96,GBP,Fiat 500,700948158,1,1,1,2,Mini,4,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269307
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,153.07,153.07,153.07,GBP,Tesla Model 3,740451651,1,1,1,4,Full-size,5,N/A,Automatic,600 miles per rental,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.80,Very good,8.80,8.70,8.80,7.60,8.00,6.00,7.40,3146,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269308
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,109.58,109.58,109.58,GBP,Peugeot e-208 GPS,732373806,1,1,1,4,Economy,5,N/A,Automatic,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.90,Good,7.70,7.90,8.60,6.90,5.80,5.60,6.60,4909,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269309
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,125.37,125.37,125.37,GBP,Peugeot 208,627374093,1,1,1,4,Economy,5,N/A,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.50,7.90,9.30,8.30,8.30,7.40,7.30,2757,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269310
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,125.37,125.37,125.37,GBP,Volkswagen Polo,668690291,1,1,1,4,Economy,5,N/A,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.60,8.10,9.20,8.40,8.10,7.20,7.30,1533,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269311
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,326.96,326.96,326.96,GBP,Audi Q3,723949466,1,1,1,4,Premium,5,N/A,Automatic,450 miles per rental,Sixt,"Heathrow Airport, London, UK, TW6 2GD",In Terminal,7.70,Very good,8.60,8.10,9.00,8.20,7.10,6.80,6.90,2010,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269312
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,143.98,143.98,143.98,GBP,Volkswagen T-Cross,723939191,1,1,1,4,Compact,5,N/A,Manual,450 miles per rental,Sixt,"Heathrow Airport, London, UK, TW6 2GD",In Terminal,7.70,Very good,8.60,8.10,9.00,8.20,7.10,6.80,6.90,2010,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269313
